country,iso3,Arrivals total,Departures total,Arrivals full-freight,Departures full-freight,Arrivals belly,Departures belly,Cargo-in full freight (tons),Cargo-out full freight (tons),Cargo-in belly (tons),Cargo-out belly (tons)
Poland,POL,4699,4699,0,0,4699,4699,0.0,0.0,28190.3,28178.1
Portugal,PRT,5238,5232,0,0,5238,5232,0.0,0.0,42401.600000000006,42333.600000000006
Puerto Rico,PRI,436,0,436,0,0,0,47096.799999999996,0.0,0.0,0.0
Qatar,QAT,730,730,365,365,365,365,39548.0,39548.0,6569.0,6569.0
Romania,ROU,1659,1635,0,0,1659,1635,0.0,0.0,13502.2,13344.000000000004
Russia,RUS,2354,2605,471,721,1883,1884,60720.0,95060.0,10318.9,10318.9
Rwanda,RWA,365,365,0,0,365,365,0.0,0.0,7998.8,7998.8
Saudi Arabia,SAU,313,356,313,356,0,0,31471.6,35767.7,0.0,0.0
Senegal,SEN,22,23,0,0,22,23,0.0,0.0,191.39999999999992,200.0999999999999
Serbia,SRB,730,730,0,0,730,730,0.0,0.0,2464.5,2464.5
Sierra Leone,SLE,9,9,0,0,9,9,0.0,0.0,361.8,361.8
Singapore,SGP,911,910,184,180,727,730,20240.0,19800.0,14717.999999999998,14776.8
Slovenia,SVN,459,459,0,0,459,459,0.0,0.0,2645.8,2645.8
South Africa,ZAF,1056,886,326,156,730,730,36166.8,17160.0,23987.4,23987.4
Spain,ESP,15641,15678,0,66,15641,15612,0.0,6627.0,127121.20000000001,126685.90000000001
Sudan,SDN,2,0,2,0,0,0,206.0,0.0,0.0,0.0
Suriname,SUR,498,497,0,0,498,497,0.0,0.0,14123.599999999999,14102.3
Sweden,SWE,4367,4458,0,92,4367,4366,0.0,9558.8,27194.8,27183.4
Switzerland,CHE,8915,8967,0,52,8915,8915,0.0,5200.0,49050.8,49038.100000000006
Taiwan,TWN,795,798,72,72,723,726,7920.0,7920.0,18873.800000000003,18932.600000000002
Tanzania,TZA,7,8,0,0,7,8,0.0,0.0,88.9,101.6
Thailand,THA,590,590,72,72,518,518,7920.0,7920.0,9602.0,9602.0
Tunisia,TUN,82,82,0,0,82,82,0.0,0.0,336.79999999999995,336.79999999999995
Turkey,TUR,5136,5229,0,101,5136,5128,0.0,6172.600000000002,56352.8,55577.50000000001
Uganda,UGA,365,365,0,0,365,365,0.0,0.0,7998.8,7998.8
United Arab Emirates,ARE,2487,2772,403,687,2084,2085,46323.9,72584.20000000001,93805.19999999998,93778.0
United Kingdom,GBR,45085,44775,273,102,44812,44673,22136.400000000005,8302.8,230732.5,230205.2
United States,USA,14147,13675,1413,943,12734,12732,133568.6,73839.39999999998,280391.5,280421.7
Zimbabwe,ZWE,156,0,156,0,0,0,17160.0,0.0,0.0,0.0
